Frequency   	S[1,1]_Mag  	S[1,1]_Phs  	S[1,2]_Mag  	S[1,2]_Phs  	S[1,3]_Mag  	S[1,3]_Phs  	S[1,4]_Mag  	S[1,4]_Phs  	S[2,1]_Mag  	S[2,1]_Phs  	S[2,2]_Mag  	S[2,2]_Phs  	S[2,3]_Mag  	S[2,3]_Phs  	S[2,4]_Mag  	S[2,4]_Phs  	S[3,1]_Mag  	S[3,1]_Phs  	S[3,2]_Mag  	S[3,2]_Phs  	S[3,3]_Mag  	S[3,3]_Phs  	S[3,4]_Mag  	S[3,4]_Phs  	S[4,1]_Mag  	S[4,1]_Phs  	S[4,2]_Mag  	S[4,2]_Phs  	S[4,3]_Mag  	S[4,3]_Phs  	S[4,4]_Mag  	S[4,4]_Phs  	
0.000000000000000E+00 	2.127690822721830E-03  	0.000000000000000E+00  	9.978570668089960E-01  	0.000000000000000E+00  	9.720148221425969E-06  	0.000000000000000E+00  	8.357981647222351E-06  	1.800000000000000E+02  	9.978570668089960E-01  	0.000000000000000E+00  	2.127867958469180E-03  	0.000000000000000E+00  	8.473068777270500E-06  	1.800000000000000E+02  	9.580136256737150E-06  	0.000000000000000E+00  	9.720148221425969E-06  	0.000000000000000E+00  	8.473068777270500E-06  	1.800000000000000E+02  	1.254841945410590E-04  	0.000000000000000E+00  	9.998584897623461E-01  	0.000000000000000E+00  	8.357981647222351E-06  	1.800000000000000E+02  	9.580136256737150E-06  	0.000000000000000E+00  	9.998584897623461E-01  	0.000000000000000E+00  	1.255243146260910E-04  	0.000000000000000E+00  	
1.000000000000000E+00 	2.127689454992080E-03  	-1.298483578346110E-04  	9.978570687110879E-01  	-6.141571791126160E-07  	9.720088300050577E-06  	8.063729639305213E-03  	8.357994331088010E-06  	1.799911184882840E+02  	9.978570687110879E-01  	-6.141571791126160E-07  	2.127866585178031E-03  	-1.308320535879150E-04  	8.473080859327050E-06  	1.799912140746260E+02  	9.580080714140800E-06  	8.217333668282770E-03  	9.720088300050577E-06  	8.063729639305213E-03  	8.473080859327050E-06  	1.799912140746260E+02  	1.254842323952490E-04  	-3.765736389909929E-03  	9.998584902367510E-01  	-5.202662107500081E-07  	8.357994331088010E-06  	1.799911184882840E+02  	9.580080714140800E-06  	8.217333668282770E-03  	9.998584902367510E-01  	-5.202662107500081E-07  	1.255243514190570E-04  	-3.765999889523710E-03  	
1.047128548050900E+00 	2.127689454992600E-03  	-1.359679224061920E-04  	9.978570687110879E-01  	-6.431015152390351E-07  	9.720088309336848E-06  	8.443761503702690E-03  	8.357994340772380E-06  	1.799906999155390E+02  	9.978570687110879E-01  	-6.431015152390351E-07  	2.127866585178560E-03  	-1.369979783120720E-04  	8.473080868934540E-06  	1.799908000067270E+02  	9.580080723645353E-06  	8.604604667227497E-03  	9.720088309336848E-06  	8.443761503702690E-03  	8.473080868934540E-06  	1.799908000067270E+02  	1.254842324213870E-04  	-3.943210077761350E-03  	9.998584902367510E-01  	-5.447856018625690E-07  	8.357994340772380E-06  	1.799906999155390E+02  	9.580080723645353E-06  	8.604604667227497E-03  	9.998584902367510E-01  	-5.447856018625690E-07  	1.255243514452070E-04  	-3.943485995729228E-03  	
1.096478196143190E+00 	2.127689454993180E-03  	-1.423758931707420E-04  	9.978570687110879E-01  	-6.734099559013622E-07  	9.720088319519050E-06  	8.841703717285571E-03  	8.357994351391070E-06  	1.799902616160700E+02  	9.978570687110879E-01  	-6.734099559013622E-07  	2.127866585179150E-03  	-1.434544941158770E-04  	8.473080879468948E-06  	1.799903664244100E+02  	9.580080734066881E-06  	9.010127185211570E-03  	9.720088319519050E-06  	8.841703717285571E-03  	8.473080879468948E-06  	1.799903664244100E+02  	1.254842324500470E-04  	-4.129047842757352E-03  	9.998584902367510E-01  	-5.704605562773548E-07  	8.357994351391070E-06  	1.799902616160700E+02  	9.580080734066881E-06  	9.010127185211570E-03  	9.998584902367510E-01  	-5.704605562773548E-07  	1.255243514738800E-04  	-4.129336764338310E-03  	
1.148153621496880E+00 	2.127689454993810E-03  	-1.490858622933840E-04  	9.978570687110879E-01  	-7.051467893657503E-07  	9.720088330683603E-06  	9.258400368687846E-03  	8.357994363034242E-06  	1.799898026601850E+02  	9.978570687110879E-01  	-7.051467893657503E-07  	2.127866585179790E-03  	-1.502152961349880E-04  	8.473080891019691E-06  	1.799899124079890E+02  	9.580080745493870E-06  	9.434761389701970E-03  	9.720088330683603E-06  	9.258400368687846E-03  	8.473080891019691E-06  	1.799899124079890E+02  	1.254842324814720E-04  	-4.323643871697470E-03  	9.998584902367510E-01  	-5.973455340149710E-07  	8.357994363034242E-06  	1.799898026601850E+02  	9.580080745493870E-06  	9.434761389701970E-03  	9.998584902367510E-01  	-5.973455340149710E-07  	1.255243515053200E-04  	-4.323946409732890E-03  	
1.202264434617410E+00 	2.127689454994510E-03  	-1.561120625182510E-04  	9.978570687110879E-01  	-7.383793337110163E-07  	9.720088342925284E-06  	9.694735327198122E-03  	8.357994375800720E-06  	1.799893220743760E+02  	9.978570687110879E-01  	-7.383793337110163E-07  	2.127866585180491E-03  	-1.572947249369290E-04  	8.473080903684839E-06  	1.799894369944340E+02  	9.580080758023310E-06  	9.879407986591312E-03  	9.720088342925284E-06  	9.694735327198122E-03  	8.473080903684839E-06  	1.799894369944340E+02  	1.254842325159290E-04  	-4.527410928831120E-03  	9.998584902367509E-01  	-6.254975617177400E-07  	8.357994375800720E-06  	1.799893220743760E+02  	9.580080758023310E-06  	9.879407986591312E-03  	9.998584902367509E-01  	-6.254975617177400E-07  	1.255243515397920E-04  	-4.527727725044690E-03  	
1.258925411794170E+00 	2.127689454995270E-03  	-1.634693973580420E-04  	9.978570687110880E-01  	-7.731780796192701E-07  	9.720088356348039E-06  	1.015163411756090E-02  	8.357994389798889E-06  	1.799888188392580E+02  	9.978570687110880E-01  	-7.731780796192701E-07  	2.127866585181270E-03  	-1.647077969393440E-04  	8.473080917571890E-06  	1.799889391753310E+02  	9.580080771761559E-06  	1.034501013071169E-02  	9.720088356348039E-06  	1.015163411756090E-02  	8.473080917571890E-06  	1.799889391753310E+02  	1.254842325537100E-04  	-4.740781231385330E-03  	9.998584902367509E-01  	-6.549763536108252E-07  	8.357994389798889E-06  	1.799888188392580E+02  	9.580080771761559E-06  	1.034501013071169E-02  	9.998584902367509E-01  	-6.549763536108252E-07  	1.255243515775910E-04  	-4.741112957744280E-03  	
1.318256738556410E+00 	2.127689454996101E-03  	-1.711734727063660E-04  	9.978570687110880E-01  	-8.096168398961180E-07  	9.720088371065801E-06  	1.063006588313510E-02  	8.357994405147570E-06  	1.799882918874010E+02  	9.978570687110880E-01  	-8.096168398961180E-07  	2.127866585182110E-03  	-1.724702362618410E-04  	8.473080932798740E-06  	1.799884178947380E+02  	9.580080786825259E-06  	1.083255542638850E-02  	9.720088371065801E-06  	1.063006588313510E-02  	8.473080932798740E-06  	1.799884178947380E+02  	1.254842325951360E-04  	-4.964207366355132E-03  	9.998584902367509E-01  	-6.858444381641161E-07  	8.357994405147570E-06  	1.799882918874010E+02  	9.580080786825259E-06  	1.083255542638850E-02  	9.998584902367509E-01  	-6.858444381641161E-07  	1.255243516190360E-04  	-4.964554726495500E-03  	
1.380384264602880E+00 	2.127689454997020E-03  	-1.792406299399430E-04  	9.978570687110880E-01  	-8.477729060375269E-07  	9.720088387203489E-06  	1.113104544157230E-02  	8.357994421977068E-06  	1.799877401010700E+02  	9.978570687110880E-01  	-8.477729060375269E-07  	2.127866585183040E-03  	-1.805985080789500E-04  	8.473080949494649E-06  	1.799878720469500E+02  	9.580080803342280E-06  	1.134307802227720E-02  	9.720088387203489E-06  	1.113104544157230E-02  	8.473080949494649E-06  	1.799878720469500E+02  	1.254842326405590E-04  	-5.198163250500819E-03  	9.998584902367509E-01  	-7.181672907235019E-07  	8.357994421977068E-06  	1.799877401010700E+02  	9.580080803342280E-06  	1.134307802227720E-02  	9.998584902367509E-01  	-7.181672907235019E-07  	1.255243516644790E-04  	-5.198526981219988E-03  	
1.445439770745930E+00 	2.127689454998020E-03  	-1.876879805808530E-04  	9.978570687110880E-01  	-8.877272121754570E-07  	9.720088404898119E-06  	1.165563543737670E-02  	8.357994440430248E-06  	1.799871623098530E+02  	9.978570687110880E-01  	-8.877272121754570E-07  	2.127866585184060E-03  	-1.891098535449800E-04  	8.473080967801349E-06  	1.799873004741500E+02  	9.580080821452829E-06  	1.187766080492580E-02  	9.720088404898119E-06  	1.165563543737670E-02  	8.473080967801349E-06  	1.799873004741500E+02  	1.254842326903640E-04  	-5.443145135588503E-03  	9.998584902367510E-01  	-7.520134723928727E-07  	8.357994440430248E-06  	1.799871623098530E+02  	9.580080821452829E-06  	1.187766080492580E-02  	9.998584902367510E-01  	-7.520134723928727E-07  	1.255243517143070E-04  	-5.443526008408060E-03  	
